name,value,unit
declared_operations,6,operators
known_controls_recovered,2,of_2
page73_selected_rank,1,rank
page74_selected_rank,1,rank
full_family_shuffles_per_control,500,shuffles
joint_empirical_p_each,0.001996007984031936,probability
